Z positions,B field ,B field 2,B field 3,AVE,STD,STDM
-0.30,4.40E-04,4.70E-04,4.50E-04,4.53E-04,1.53E-05,8.82E-06
-0.25,8.10E-04,8.30E-04,8.60E-04,8.33E-04,2.52E-05,1.45E-05
-0.20,1.61E-03,1.67E-03,1.64E-03,1.64E-03,3.00E-05,1.73E-05
-0.15,2.80E-03,2.50E-03,2.70E-03,2.67E-03,1.53E-04,8.82E-05
-0.10,3.19E-03,3.32E-03,3.24E-03,3.25E-03,6.56E-05,3.79E-05
-0.05,2.44E-03,2.64E-03,2.51E-03,2.53E-03,1.01E-04,5.86E-05
0.00,2.22E-03,2.17E-03,2.25E-03,2.21E-03,4.04E-05,2.33E-05
0.05,2.91E-03,2.73E-03,2.86E-03,2.83E-03,9.29E-05,5.36E-05
0.10,3.15E-03,3.24E-03,3.19E-03,3.19E-03,4.51E-05,2.60E-05
0.15,2.05E-03,2.48E-03,2.23E-03,2.25E-03,2.16E-04,1.25E-04
0.20,1.07E-03,1.32E-03,1.15E-03,1.18E-03,1.28E-04,7.37E-05
0.25,5.50E-04,6.10E-04,5.70E-04,5.77E-04,3.06E-05,1.76E-05
0.30,3.00E-04,4.00E-04,4.00E-04,3.67E-04,5.77E-05,3.33E-05
,,,,,,
